"OTU"	"id_tissue"	"subject_type"	"SampleID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Abundance"	"n"
"AB297964.1.1482|AF051342.1.1519"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Prauserella"	0	1
"AB518950.1.1428|KM823734.1.1548|KM823757.1.1546"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Paenisporosarcina"	0	1
"AB518950.1.1428|KM823734.1.1548|KM823757.1.1546"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Paenisporosarcina"	12	1
"AB518950.1.1428|KM823734.1.1548|KM823757.1.1546"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Paenisporosarcina"	0	1
"AB518950.1.1428|KM823734.1.1548|KM823757.1.1546"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Paenisporosarcina"	0	1
"AB677960.1.1433"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Oleomonas"	0	1
"AB677960.1.1433"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Oleomonas"	0	1
"AB677960.1.1433"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Oleomonas"	1	1
"AB677960.1.1433"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Oleomonas"	0	1
"ACCF01000268.3369.4627"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	0	1
"ACCF01000268.3369.4627"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	2	1
"ACCF01000268.3369.4627"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	2	1
"ACCF01000268.3369.4627"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	4	1
"ACCF01000268.3369.4627"	"Tumor"	"CCR89"	"CCR_FFPE_89_1_tumor_2"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	0	1
"ACCF01000268.3369.4627"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	0	1
"ACCF01000268.3369.4627"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-a"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	0	1
"ACCF01000268.3369.4627"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-c"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	0	1
"ACCF01000268.3369.4627"	"Tumor"	"CCR89"	"CCR-FFPE-89-1-tumor-2-f"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	2	1
"ACLA01000028.1.1216"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Selenomonas"	0	1
"ACLA01000028.1.1216"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Selenomonas"	0	1
"ACLA01000028.1.1216"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Selenomonas"	12	1
"ACLA01000028.1.1216"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Selenomonas"	0	1
"AF078758.1.1518|AJ420330.1.1550"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Xylophilus"	0	1
"AF226615.1.1263"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermatophilaceae"	"Dermatophilus"	0	1
"AF226615.1.1263"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermatophilaceae"	"Dermatophilus"	0	1
"AF226615.1.1263"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermatophilaceae"	"Dermatophilus"	61	1
"AF226615.1.1263"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermatophilaceae"	"Dermatophilus"	0	1
"AF422655.1.1444"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Zavarzinia"	0	1
"AF422655.1.1444"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Zavarzinia"	0	1
"AF422655.1.1444"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Zavarzinia"	2	1
"AF422655.1.1444"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Zavarziniales"	"Zavarziniaceae"	"Zavarzinia"	0	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	0	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	20	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	20	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	0	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Tumor"	"CCR89"	"CCR_FFPE_89_1_tumor_2"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	0	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	20	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-a"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	0	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-c"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	0	1
"AGCK01000014.389.1908|AY724678.1.1465"	"Tumor"	"CCR89"	"CCR-FFPE-89-1-tumor-2-f"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	0	1
"AJ000918.1.1444"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Rhizorhapis"	0	1
"AJ277208.1.1350"	"Adenoma"	"CCR89"	"CCR_FFPE_89_1_adenoma_1"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Adenoma"	"CCR89"	"CCR_FFPE_89_1_adenoma_3g"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-1-e"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	4	1
"AJ277208.1.1350"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-3"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-3-c"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	22	1
"AJ277208.1.1350"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	8	1
"AJ277208.1.1350"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Tumor"	"CCR89"	"CCR_FFPE_89_1_tumor_2"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-a"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	7	1
"AJ277208.1.1350"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-c"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ277208.1.1350"	"Tumor"	"CCR89"	"CCR-FFPE-89-1-tumor-2-f"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Parvimonas"	0	1
"AJ292530.41.1371"	"Adenoma"	"CCR89"	"CCR_FFPE_89_1_adenoma_1"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	1
"AJ292530.41.1371"	"Adenoma"	"CCR89"	"CCR_FFPE_89_1_adenoma_3g"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	1
"AJ292530.41.1371"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-1-e"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	12	1
"AJ292530.41.1371"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-3"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4	1
"AJ292530.41.1371"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-3-c"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	8	1
"AJ292530.41.1371"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	1
"AJ441003.1.1476"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	0	1
"AJ441003.1.1476"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	0	1
"AJ441003.1.1476"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	1	1
"AJ441003.1.1476"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	0	1
"AJ441003.1.1476"	"Tumor"	"CCR89"	"CCR_FFPE_89_1_tumor_2"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	0	1
"AJ441003.1.1476"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	0	1
"AJ441003.1.1476"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-a"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	0	1
"AJ441003.1.1476"	"Tumor"	"CCR89"	"CCR-89-1-FFPE-Tumor-c"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	0	1
"AJ441003.1.1476"	"Tumor"	"CCR89"	"CCR-FFPE-89-1-tumor-2-f"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Salinibacterium"	4	1
"AJ550856.1.1484|JF496553.1.1447"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Enhydrobacter|Moraxella"	0	1
"AJ550856.1.1484|JF496553.1.1447"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Enhydrobacter|Moraxella"	27	1
"AJ550856.1.1484|JF496553.1.1447"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Enhydrobacter|Moraxella"	0	1
"AJ550856.1.1484|JF496553.1.1447"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Enhydrobacter|Moraxella"	0	1
"AJQW01000057.1.1280|AJRI01000184.58.1456|ALIN02000128.1.1417|CBTL0111653530.4.1245|CVOH01000136.663604.665112|EU530394.1.1320|GQ222403.1.1443|HM219659.1.1376|JX984110.1.1220|KF842950.1.1383|KF843101.1.1382|KF843192.1.1387|KT873240.1.1219|LC431227.1.1269|LGZH01000012.970.2337|LPYE01000142.199.1550|LXVN01000186.3.1289|LZEC01000082.1.1436"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter|Escherichia-Shigella"	3	1
"AJQW01000057.1.1280|AJRI01000184.58.1456|ALIN02000128.1.1417|CBTL0111653530.4.1245|CVOH01000136.663604.665112|EU530394.1.1320|GQ222403.1.1443|HM219659.1.1376|JX984110.1.1220|KF842950.1.1383|KF843101.1.1382|KF843192.1.1387|KT873240.1.1219|LC431227.1.1269|LGZH01000012.970.2337|LPYE01000142.199.1550|LXVN01000186.3.1289|LZEC01000082.1.1436"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter|Escherichia-Shigella"	24	1
"AJQW01000057.1.1280|AJRI01000184.58.1456|ALIN02000128.1.1417|CBTL0111653530.4.1245|CVOH01000136.663604.665112|EU530394.1.1320|GQ222403.1.1443|HM219659.1.1376|JX984110.1.1220|KF842950.1.1383|KF843101.1.1382|KF843192.1.1387|KT873240.1.1219|LC431227.1.1269|LGZH01000012.970.2337|LPYE01000142.199.1550|LXVN01000186.3.1289|LZEC01000082.1.1436"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter|Escherichia-Shigella"	0	1
"AJQW01000057.1.1280|AJRI01000184.58.1456|ALIN02000128.1.1417|CBTL0111653530.4.1245|CVOH01000136.663604.665112|EU530394.1.1320|GQ222403.1.1443|HM219659.1.1376|JX984110.1.1220|KF842950.1.1383|KF843101.1.1382|KF843192.1.1387|KT873240.1.1219|LC431227.1.1269|LGZH01000012.970.2337|LPYE01000142.199.1550|LXVN01000186.3.1289|LZEC01000082.1.1436"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter|Escherichia-Shigella"	0	1
"AM406046.1.1475"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Myxococcota"	"Polyangia"	"mle1-27"	"mle1-27"	"mle1-27"	0	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Adenoma"	"CCR89"	"CCR_FFPE_89_1_adenoma_1"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	247	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Adenoma"	"CCR89"	"CCR_FFPE_89_1_adenoma_3g"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-1-e"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	28	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-3"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	24	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Adenoma"	"CCR89"	"CCR-FFPE-89-1-adenoma-3-c"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	19	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Control"	"control"	"Control_neg_Extraccion1"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	27	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-b"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	252	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Normal-colon"	"CCR89"	"CCR-89-1-FFPE-Normal-c"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	33	1
"AM420265.1.1495|CP024725.108455.109992|CP024725.1481342.1482880|CP024726.374486.376023"	"Tumor"	"CCR89"	"CCR_FFPE_89_1_tumor_2"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	1
